,symbol,beta,volAvg,mktCap,lastDiv,range,changes,companyName,currency,cik,isin,cusip,exchange,exchangeShortName,industry,website,description,ceo,sector,country,fullTimeEmployees,phone,address,city,state,zip,dcfDiff,dcf,image,ipoDate,defaultImage,isEtf,isActivelyTrading,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,volume,avgVolume,exchange,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp,held,totalheld,ratingdate,rating,ratingScore,ratingRecommendation,ratingDetailsDCFScore,ratingDetailsDCFRecommendation,ratingDetailsROEScore,ratingDetailsROERecommendation,ratingDetailsROAScore,ratingDetailsROARecommendation,ratingDetailsDEScore,ratingDetailsDERecommendation,ratingDetailsPEScore,ratingDetailsPERecommendation,ratingDetailsPBScore,ratingDetailsPBRecommendation
10,CTXS,0.16278,1302316,17276442624,1.42,111.26-173.56,1.67,Citrix Systems Inc,USD,0000877890,US1773761002,177376100,Nasdaq Global Select,NASDAQ,Software Application,https://www.citrix.com/,"Citrix Systems, Inc. provides workspace, networking, and professional services worldwide. The company offers workspace services, including Citrix Virtual Apps and Desktops; Citrix Content Collaboration, a cloud-based file sharing and storage solution, which provides enterprise-class data services on various corporate and personal mobile devices for businesses; Citrix Endpoint Management for mobility and device management capabilities; and Workspace Intelligence that customizes and streamlines user workflows, as well as microapp creation with low-code tooling, automates tasks and functions. It also provides networking products comprising Citrix ADC, an application delivery controller and load balancing solution for web, traditional and cloud-native applications; and Citrix SD-WAN, a WAN Edge solution that delivers flexible, automated, secure connectivity and performance for the workspace, as well as Citrix Analytics for security, performance, and operations. In addition, the company offers customer services, hardware maintenance, consulting, and product training and certification services. The company serves health care, financial services, technology, manufacturing, consumer, and government agencies. It markets and licenses its products through resellers, distributors, systems integrators, independent software vendors, original equipment manufacturers, and service providers. The company was formerly known as Citrus Systems, Inc. and changed its name to Citrix Systems, Inc. in March 2009. Citrix Systems, Inc. was founded in 1989 and is headquartered in Fort Lauderdale, Florida.",Mr. David Henshall,Technology,US,8400,19542673000,851 W Cypress Creek Rd,Fort Lauderdale,FLORIDA,33309,-40.26,140.388,https://financialmodelingprep.com/image-stock/CTXS.png,1995-12-01,False,False,True,140.5,1.2,1.67,138.66,141.065,173.56,111.26,17276442624.0,136.83324,131.3976,756559,1302316,NASDAQ,139.32,138.83,4.0,35.125,2021-04-29T12:30:00.000+0000,122964004,1618636153,10,1405.0,2021-04-16,S,5,Strong Buy,5,Strong Buy,5,Strong Buy,3,Neutral,5,Strong Buy,5,Strong Buy,5,Strong Buy
11,NIO,0.0,94970934,59134189568,0.0,2.91-66.99,0.43,NIO Inc,USD,0001736541,US62914V1061,62914V106,New York Stock Exchange,NYSE,Auto Manufacturers,http://www.nio.com/,"NIO Limited designs, manufactures, and sells electric vehicles in the People's Republic of China, Hong Kong, the United States, the United Kingdom, and Germany. The company offers five, six, and seven-seater electric SUVs. It is also involved in the provision of energy and service packages to its users; marketing, design, and technology development activities; manufacture of e-powertrains, battery packs, and components; and sales and after sales management activities. In addition, the company offers charging solutions, including Power Home, a home charging solution; Power Swap, a battery swapping service; Power Mobile, a mobile charging service through charging trucks; Public Charger, a public fast charging solution; and Power Express, a 24-hour on-demand pick-up and drop-off charging service. Further, it provides value-added services, such as statutory and third-party liability insurance, and vehicle damage insurance through third-party insurers; repair and routine maintenance services; courtesy car services during lengthy repairs and maintenance; and roadside assistance, as well as data packages. NIO Limited has a strategic collaboration with Mobileye N.V. for the development of automated and autonomous vehicles; and collaboration agreements with various manufacturers for the manufacture of ES8, a six or seven-seater high-performance electric SUV. The company was formerly known as NextEV Inc. and changed its name to NIO Limited in July 2017. NIO Limited was founded in 2014 and is headquartered in Shanghai, China.",Mr. Bin Li,Consumer Cyclical,CN,7442,862169083306,"Building 20, No. 56 Antuo Road, Jiading District",Shanghai,SHANGHAI,201804,,37.6051,https://financialmodelingprep.com/image-stock/NIO.png,2018-09-12,False,False,True,36.09,1.21,0.43,34.06,36.54,66.99,2.91,59134189568.0,40.41353,43.857445,82236800,94970934,NYSE,34.69,35.66,-0.725,,2021-03-01T13:30:00.000+0000,1638520077,1618636153,40,1443.6000000000001,2021-04-16,A-,4,Buy,5,Strong Buy,3,Neutral,3,Neutral,4,Buy,1,Strong Sell,5,Strong Buy
12,NVS,0.517296,2004857,198795804672,3.378,77.04-98.52,0.82,Novartis AG,USD,0001114448,US66987V1098,66987V109,New York Stock Exchange,NYSE,Drug Manufacturers General,http://www.novartis.com,"Novartis AG researches, develops, manufactures, and markets healthcare products worldwide. Its Innovative Medicines segment offers prescription medicines for patients and healthcare providers. It also provides ophthalmology, neuroscience, immunology, hepatology and dermatology, respiratory, cardio-metabolic, established, and cardiovascular, renal and metabolism medicine products. The company's Sandoz segment provides active ingredients and finished dosage forms of small molecule pharmaceuticals to third parties across a range of therapeutic areas, as well as finished dosage form anti-infectives. It also provides active pharmaceutical ingredients and intermediates primarily antibiotics; protein- or other biotechnology-based products, including biosimilars; and biotechnology manufacturing services. Novartis AG has collaboration agreements with Pear Therapeutics; Wyss Institute for Biologically Inspired Engineering at Harvard University and the Dana-Farber Cancer Institute; Science 37; Bill & Melinda Gates Foundation; Amgen; University of California, Berkeley; Bristol-Myers Squibb; Drugs for Neglected Diseases initiative (DNDi); TScan Therapeutics; Dyno Therapeutics Inc.; and Olema Oncology. The company was founded in 1895 and is headquartered in Basel, Switzerland.",Joseph Jimenez,Healthcare,CH,110000,41 61 324 1111,Lichtstrasse 35,Basel,,4056,,0.0,https://financialmodelingprep.com/image-stock/NVS.png,2001-09-05,False,False,True,88.02,0.94,0.82,87.2,88.07,98.52,77.04,198795804672.0,86.079414,88.38628,1881982,2004857,NYSE,87.44,87.2,3.52,25.00568,,2258529933,1618636154,11,968.2199999999999,2021-04-16,A+,5,Strong Buy,5,Strong Buy,3,Neutral,3,Neutral,4,Buy,5,Strong Buy,5,Strong Buy
13,PCAR,1.12253,2003491,32950054912,1.9800000000000002,64.25-103.19,-0.11,Paccar Inc,USD,0000075362,US6937181088,693718108,Nasdaq Global Select,NASDAQ,Farm & Heavy Construction Machinery,http://www.paccar.com/,"PACCAR Inc designs, manufactures, and distributes light, medium, and heavy-duty commercial trucks in the United States, Europe, and internationally. The company operates in three segments: Truck, Parts, and Financial Services. The Truck segment designs, manufactures, and distributes trucks that are used for the over-the-road and off-highway hauling of commercial and consumer goods. It sells its trucks through a network of independent dealers under the Kenworth, Peterbilt, and DAF nameplates. The Parts segment distributes aftermarket parts for trucks and related commercial vehicles. The Financial Services segment conducts full service leasing operations under the PacLease trade name. It also provides equipment financing and administrative support services for its franchisees; retail loan and leasing services for small, medium, and large commercial trucking companies, as well as independent owner/operators and other businesses; and truck inventory financing services to independent dealers. In addition, this segment offers loans and leases directly to customers for the acquisition of trucks and related equipment. The company also manufactures and markets industrial winches under the Braden, Carco, and Gearmatic nameplates. PACCAR Inc was founded in 1905 and is headquartered in Bellevue, Washington.",Mr. R. Preston Feight,Industrials,US,27000,14254687525,"Paccar Building, 777 106Th Avenue Ne",Bellevue,WASHINGTON,98004,6.29,91.3929,https://financialmodelingprep.com/image-stock/PCAR.png,1980-03-17,False,False,True,94.92,-0.12,-0.11,93.99,95.82,103.19,64.25,32950054912.0,94.09147,90.97898,1183938,2003491,NASDAQ,95.04,95.03,3.74,25.379679,2021-04-27T12:30:00.000+0000,347135008,1618636154,10,949.2,2021-04-16,A+,5,Strong Buy,5,Strong Buy,3,Neutral,3,Neutral,4,Buy,5,Strong Buy,5,Strong Buy
14,PLTR,0.0,88625378,40946405376,0.0,8.9-45.0,-0.68,Palantir Technologies Inc.,USD,0001321655,US69608A1088,69608A108,New York Stock Exchange,NYSE,Software—Infrastructure,http://www.palantir.com,"Palantir Technologies Inc. builds and deploys software platforms for the intelligence community in the United States to assist in counterterrorism investigations and operations. It offers Palantir Gotham, a software platform for government operatives in the defense and intelligence sectors, which enables users to identify patterns hidden deep within datasets, ranging from signals intelligence sources to reports from confidential informants, as well as facilitates the handoff between analysts and operational users, helping operators plan and execute real-world responses to threats that have been identified within the platform. The company also provides Palantir Foundry, a platform that transforms the ways organizations operate by creating a central operating system for their data; and allows individual users to integrate and analyze the data they need in one place. Palantir Technologies Inc. was founded in 2003 and is headquartered in Denver, Colorado.",Industrials,Technology,US,2464,720 358 3679,1555 Blake Street,Denver,CO,80202,,0.0,https://financialmodelingprep.com/image-stock/PLTR.png,2020-09-23,False,False,True,22.47,-2.94,-0.68,22.3,23.26,45.0,8.9,40946405376.0,23.937353,22.52228,46004803,88625378,NYSE,22.86,23.15,,,,1822269932,1618636155,36,808.92,2021-04-15,A-,4,Buy,5,Strong Buy,3,Neutral,3,Neutral,4,Buy,1,Strong Sell,5,Strong Buy
15,PYPL,1.07513,9769313,316897525760,0.0,107.41-309.14,-4.13,PayPal Holdings Inc,USD,0001633917,US70450Y1038,70450Y103,Nasdaq Global Select,NASDAQ,Credit Services,https://www.paypal.com/,"PayPal Holdings, Inc. operates as a technology platform and digital payments company that enables digital and mobile payments on behalf of consumers and merchants worldwide. Its payment solutions include PayPal, PayPal Credit, Braintree, Venmo, Xoom, and iZettle products. The company's payments platform allows consumers to send and receive payments, withdraw funds to their bank accounts, and hold balances in their PayPal accounts in various currencies. It also offers gateway services that enable merchants to accept payments online with credit or debit cards, as well as digital wallets. PayPal Holdings, Inc. was founded in 1998 and is headquartered in San Jose, California.",Mr. Daniel Schulman,Financial Services,US,23200,14089671000,2211 N 1st St,San Jose,CALIFORNIA,95131,-78.95,219.256,https://financialmodelingprep.com/image-stock/PYPL.png,2015-07-06,False,False,True,269.87,-1.51,-4.13,268.59,274.15,309.14,107.41,316897525760.0,250.51279,231.2404,5541734,9769313,NASDAQ,273.16,274.0,3.54,76.23446,2021-05-05T23:00:00.000+0000,1174259924,1618636155,4,1079.48,2021-04-15,S-,5,Strong Buy,5,Strong Buy,3,Neutral,3,Neutral,5,Strong Buy,5,Strong Buy,5,Strong Buy
16,PENN,2.67525,5107390,15639211008,0.0,12.96-142.0,-0.78,Penn National Gaming Inc,USD,0000921738,US7075691094,707569109,Nasdaq Global Select,NASDAQ,Resorts & Casinos,http://www.pngaming.com,"Penn National Gaming, Inc., together with its subsidiaries, owns and manages gaming and racing properties, and operates video gaming terminals with a focus on slot machine entertainment. The company operates through four segments: Northeast, South, West, and Midwest. It also offers live sports betting at its properties in Indiana, Iowa, Mississippi, Nevada, Pennsylvania, and West Virginia; and operates online casino under the name of iCasino in Pennsylvania. As of March 16, 2020, the company owned, managed, or had ownership interests in 41 gaming and racing properties in 19 jurisdictions. It owns various trademarks and service marks, including, Ameristar, Argosy, Boomtown, Greektown, Hollywood Casino, Hollywood Gaming, Hollywood Poker, L'Auberge, M Resort, and MYCHOICE. The company was formerly known as PNRC Corp. and changed its name to Penn National Gaming, Inc. in 1994. Penn National Gaming, Inc. was founded in 1972 and is based in Wyomissing, Pennsylvania.",Mr. Jay Snowden,Consumer Cyclical,US,28300,16103732400,825 Berkshire Blvd Ste 200,Reading,PENNSYLVANIA,19610,,66.8431,https://financialmodelingprep.com/image-stock/PENN.png,1994-05-26,False,False,True,99.94,-0.77,-0.78,99.72,102.32,142.0,12.96,15639211008.0,112.18,91.26226,2719117,5107390,NASDAQ,99.73,100.72,-5.0,,2021-05-06T07:00:00.000+0000,156486002,1618636156,8,799.52,2021-04-16,S-,5,Strong Buy,5,Strong Buy,3,Neutral,3,Neutral,5,Strong Buy,5,Strong Buy,5,Strong Buy
17,PWOD,0.59489,18152,165268144,1.28,19.5-28.42,-0.47,Penns Woods Bancorp Inc,USD,0000716605,US7084301032,708430103,Nasdaq Global Select,NASDAQ,Banks Regional,https://www.pwod.com/,"Penns Woods Bancorp, Inc. operates as the holding bank of Jersey Shore State Bank and Luzerne Bank. The company is headquartered in Jersey Shore, Pennsylvania and currently employs 0 full-time employees. The firm operates through its subsidiaries: Jersey Shore State Bank (JSSB) and Luzerne Bank (Luzerne) (collectively known as the Banks); Woods Real Estate Development Company, Inc.; Woods Investment Company, Inc., and The M Group, a subsidiary of JSSB. The firm is engaged in managing and supervising the Banks. The firm operates in Community Banking segment. The Banks are engaged in a full-service commercial banking business, making available to the community a range of financial services, including installment loans, credit cards, mortgage and home equity loans, lines of credit, construction financing, farm loans, community development loans, loans to non-profit entities and local government, and various demand and time deposits, including checking accounts, savings accounts, money market deposit accounts, certificates of deposit and individual retirement arrangements (IRAs).",Mr. Richard Grafmyre,Financial Services,US,334,15703221111,115 S Main St,Jersey Shore,PENNSYLVANIA,17703-0967,-42.55,27.8307,https://financialmodelingprep.com/image-stock/PWOD.jpg,1993-10-27,True,False,True,23.42,-1.97,-0.47,23.42,24.1099,28.42,19.5,165268144.0,25.09647,24.0527,27825,18152,NASDAQ,24.02,23.89,2.159,10.847615,2021-01-29T14:34:17.000+0000,7056710,1618636157,45,1053.9,2021-04-15,S-,5,Strong Buy,5,Strong Buy,3,Neutral,3,Neutral,5,Strong Buy,5,Strong Buy,5,Strong Buy
18,RPTX,0.0,155231,1245600896,0.0,21.45-46.44,-0.37,Repare Therapeutics Inc.,USD,0001808158,US7602731025,760273102,Nasdaq Global Select,NASDAQ,Biotechnology,,"Repare Therapeutics Inc., a precision oncology company, discovers and develops novel therapeutics by using its synthetic lethality approach in Canada. The company use its SNIPRx, a proprietary, genome-wide, and CRISPR-enabled platform to systematically discover and develop highly targeted cancer therapies focused on genomic instability, including DNA damage repair. Its lead product candidate is RP-3500, an oral small molecule inhibitor for the treatment of solid tumors with specific DNA damage repair-related genomic alterations. It is also developing CCNE1-SL inhibitor, a proprietary drug discovery program for tumors with amplification of CCNE1; and Polymerase Theta program, a SL target associated with BRCA mutations and other genomic alterations. The company was founded in 2016 and is headquartered in Montréal, Canada.",,Healthcare,CA,79,857 412 7018,7210 Frederick-Banting,Montreal,QC,,,,https://financialmodelingprep.com/image-stock/RPTX.png,2020-06-19,False,False,True,33.68,-1.09,-0.37,33.14,33.9,46.44,21.45,1245600896.0,29.960588,31.864088,51206,155231,NASDAQ,33.79,34.05,,,2021-03-04T21:00:00.000+0000,36983400,1618636157,10,336.8,2021-04-15,B+,4,Buy,5,Strong Buy,3,Neutral,3,Neutral,3,Neutral,1,Strong Sell,5,Strong Buy
19,RKT,0.0,23867904,43896037376,1.11,17.5-43.0,-0.64,"Rocket Companies, Inc.",USD,0001805284,US77311W1018,77311W101,New York Stock Exchange,NYSE,Mortgage Finance,http://www.rocketcompanies.com,"Rocket Companies, Inc. engages in the mortgage business in the United States. It is involved in originating, processing, underwriting, and servicing predominantly government sponsored enterprises-conforming mortgage loans, as well as Fair Housing Act, U.S. Department of Agriculture, and U.S. Department of Veteran's Affairs mortgage loans. The company offers its mortgage loans in 50 states through the internet, national television, and other marketing channels. It also offers title insurance, property valuation, and settlement services; online marketing and lead generation services; online-based personal loans; and car sales support services to car rental and online car purchasing platforms. The company also operates a digital platform for buying and selling homes; a sales and support platform that offers in inbound and outbound contact center services; and a loan origination platform. Rocket Companies, Inc. was founded in in 1985 and is headquartered in Detroit, Michigan. Rocket Companies, Inc. is a subsidiary of Rock Holdings, Inc.",Mr. Jay D. Farner,Financial Services,US,22000,313 373 7990,1050 Woodward Avenue,Detroit,MI,,,,https://financialmodelingprep.com/image-stock/RKT.png,2020-08-06,False,False,True,22.12,-2.81,-0.64,22.0,22.6799,43.0,17.5,43896037376.0,24.32059,21.753723,6491321,23867904,NYSE,22.55,22.76,,,2021-02-25T21:00:00.000+0000,1984450153,1618636158,25,553.0,2021-04-15,S-,5,Strong Buy,5,Strong Buy,4,Buy,3,Neutral,5,Strong Buy,4,Buy,5,Strong Buy
20,TER,1.3103,2220090,21566834688,0.4,56.42-147.9,-1.71,Teradyne Inc,USD,0000097210,US8807701029,880770102,Nasdaq Global Select,NASDAQ,Semiconductor Equipment & Materials,http://www.teradyne.com,"Teradyne, Inc. designs, develops, manufactures, sells, and supports automatic test equipment worldwide. The company operates through Semiconductor Test, System Test, Industrial Automation, and Wireless Test segments. The Semiconductor Test segment offers products and services for wafer level and device package testing in automotive, industrial, communications, consumer, computer and electronic game, and other applications. This segment also provides FLEX test platform systems; J750 test system to address the highest volume semiconductor devices; Magnum platform that tests memory devices, such as flash memory and DRAM; and ETS platform for semiconductor manufacturers, and assembly and test subcontractors in the analog/mixed signal markets. It serves integrated device manufacturers that integrate the fabrication of silicon wafers into their business; fabless companies that outsource the manufacturing of silicon wafers; foundries; and outsourced semiconductor assembly and test providers. The System Test segment offers defense/aerospace test instrumentation and systems; storage test systems; and circuit-board test and inspection systems. The Industrial Automation segment provides collaborative, autonomous mobile, and advanced robotic control software for manufacturing and light industrial customers. The Wireless Test segment provides test solutions for use in the development and manufacture of wireless devices, smart phones, tablets, notebooks, laptops, peripherals, and Internet-of-Things devices under the LitePoint brand name. This segment also offers IQxel products for Wi-Fi and other standards; IQxstream solution for testing GSM, EDGE, CDMA2000, TD-SCDMA, WCDMA, HSPA+, LTE-FDD, TD_LTE, LTE-A, and 5G technologies; IQcell, a multi-device cellular signaling test solution; IQgig test solution; and turnkey test software for wireless chipsets. The company was founded in 1960 and is headquartered in North Reading, Massachusetts.",Mr. Mark Jagiela,Technology,US,5500,19783702700,600 Riverpark Dr,North Reading,MASSACHUSETTS,01864,,96.3825,https://financialmodelingprep.com/image-stock/TER.png,1979-05-15,False,False,True,129.48,-1.3,-1.71,129.35,132.42,147.9,56.42,21566834688.0,120.80941,114.39927,1501358,2220090,NASDAQ,131.55,131.19,4.28,30.252335,2021-01-27T17:02:00.000+0000,166564988,1618636158,8,1035.84,2021-04-16,A+,5,Strong Buy,5,Strong Buy,3,Neutral,3,Neutral,4,Buy,5,Strong Buy,5,Strong Buy
21,VZ,0.3707,20008127,241279188992,2.4989999999999997,52.85-61.95,0.58,Verizon Communications Inc,USD,0000732712,US92343V1044,92343V104,New York Stock Exchange,NYSE,Telecom Services,https://www.verizon.com/,"Verizon Communications Inc. offers communications, information, and entertainment products and services to consumers, businesses, and governmental entities worldwide. Its Consumer segment provides postpaid and prepaid service plans; Internet access on notebook computers and tablets; wireless equipment, including smartphones and other handsets; and wireless-enabled Internet devices, such as tablets, laptop computers and netbooks, and other wireless-enabled connected devices, such as smart watches and other wearables. It also provides residential fixed connectivity solutions, including Internet, video, and voice services; and sells network access to mobile virtual network operators. As of December 31, 2019, it had approximately 95 million wireless retail connections, 6 million broadband connections, and 4 million Fios video connections. The company's Business segment provides network connectivity products, including private networking, private cloud connectivity, virtual and software defined networking, and Internet access services; and Internet protocol-based voice services, unified communications and collaboration tools, and customer contact center solutions. It also offers a suite of management and data security services; domestic and global voice and data solutions, including voice calling, messaging services, conferencing, contact center solutions, and private line and data access networks; customer premises equipment; installation, maintenance, and site services; and IoT products and services. This segment had 25 million wireless retail postpaid connections and 489 thousand broadband connections. The company has strategic partnership with HERE Technologies and Dignitas; and Emory Healthcare to develop and test 5G Ultra Wideband-enabled use cases. The company was formerly known as Bell Atlantic Corporation and changed its name to Verizon Communications Inc. in June 2000. Verizon Communications Inc. was founded in 1983 and is headquartered in New York, New York.",Mr. Hans Vestberg,Communication Services,US,133200,12123951000,1095 Avenue of the Americas,New York City,NEW YORK,10036,338.51,57.3766,https://financialmodelingprep.com/image-stock/VZ.png,1984-02-15,False,False,True,58.28,1.01,0.58,57.8,58.48,61.95,52.85,241279188992.0,56.917057,57.97905,19866192,20008127,NYSE,58.07,57.7,4.3,13.553488,2021-04-21T07:30:00.000+0000,4139999811,1618636159,40,2331.2,2021-04-15,A+,5,Strong Buy,5,Strong Buy,3,Neutral,3,Neutral,4,Buy,5,Strong Buy,5,Strong Buy
